8/13/2021 8:08,14005394,CHEM 222,"Tartakoff, S",I need help practicing chem problems and making sure I have a grasp on the information given since I am very much a hands on learner that doesn’t do well with lectures. If I could have a tutor that’s willing to meet in person I would absolutely love that! ,Fall 2021
8/13/2021 8:11,14005394,PHYS 103,"Jahncke, C",I struggled with PHYSin HS and will need lots of help. I don’t do well with lectures and need someone who’s willing to meet in person to help me better understand the course content.  ,Fall 2021
8/24/2021 11:55,14005578,STAT 113,Ivan Ramler,,Fall 2021
8/25/2021 6:29,14005438,CHEM 222,Samuel Tartakoff,"I want to develop better test taking skills, learn how to complete homework more efficiently, start problems easily on worksheets, and reading comprehension",Fall 2021
8/25/2021 6:29,14005438,PHYS 103,Christine Jahncke,"I want to develop better test taking skills, learn how to complete homework more efficiently, start problems easily on worksheets, and reading comprehension",Fall 2021
8/25/2021 8:23,14005211,FR 103,Eloise Brezault,"I skipped a level of french because I took 101 in the Spring, and 102 isn’t offered in the fall. Although 103 this year is a mix of levels, I still feel like I'll need extra help in comprehension, speaking, reading and writing so I can stay on track with the coursework with the kids who have taken more levels. I learn best when I can come to a session with specific questions prepped about the lessons from the week, and then once those are clarified, can practice applying whatever I was confused about. ",Fall 2021
8/25/2021 12:37,14003679,BIOL 351,Joe Erlichman and Jane Kring,Just to have someone to walk through material with! It always helps me to talk through things,Fall 2021
8/25/2021 22:06,14006183,CHEM 103,Glazier,I am struggling with the labs and some of the assignments involving math,Fall 2021
8/26/2021 10:26,14004733,SPAN 201,Prof Rafael Castilo,I haven't taken Spanish in over a year and need some help to catch up,Fall 2021
8/26/2021 11:28,14004682,ECON 251,Ailson Del Rossi,Getting a good grade in the course ,Fall 2021
8/26/2021 11:52,14003481,MATH 217,Dr. Bos,A patient tutor,Fall 2021
8/26/2021 11:52,14003481,MATH 325,Dr. Schuckers ,A patient tutor,Fall 2021
8/26/2021 14:58,14004821,STAT 113,Jessica Chapman,I am a more visual learner and learning concepts come easier with repetition. I hope to gain insight on the school resources and learning how to better use the techniques for the class. ,Fall 2021
8/29/2021 10:53,14004425,PHIL 202,Hughes,I hope to discuss some of my questions before class so I can focus on what is most vital to ask in class. I would like to have more understanding prior to class so I can learn the information more efficiently. ,Fall 2021
8/29/2021 11:26,14004223,STAT 313,Jessica Chapman,Homework and study help ,Fall 2021
8/30/2021 6:06,14005244,BIOL 245,Mike Temkin,I want to be able to understand the textbook better and visualize it.,Fall 2021
8/30/2021 6:34,14004762,BIOL 245,Temkin,Deeper understanding/study methods,Fall 2021
8/30/2021 8:44,14003140,ITAL  103,Marcella Salvi,Assistance with grammar and studying for quizzes,Fall 2021
8/30/2021 9:01,14005250,STAT 234,higham,to keep up with the pace of the course,Fall 2021
8/30/2021 13:11,14006183,BIOL 101,Alice Tarun,I just need help understanding the assignments she gives us,Fall 2021
8/31/2021 13:01,14006177,FYP,Dr. Martin-Atwood,"I would like to gain more reading and writing skills. Also to manage time and organization skills. I would also like to feel less overwhelmed by my work. I learn well visually, from videos, or listening. I am fine with putting in time to get work done but I would like to get it done faster and easier so I have time to get to all my work.",Fall 2021
8/31/2021 13:01,14006177,ECON 100,Sun-Li Choi,"I would like to gain more reading and writing skills. Also to manage time and organization skills. I would also like to feel less overwhelmed by my work. I learn well visually, from videos, or listening. I am fine with putting in time to get work done but I would like to get it done faster and easier so I have time to get to all my work.",Fall 2021
8/31/2021 13:01,14006177,GEOL 103,Dr. Alexander K. Stewart,"I would like to gain more reading and writing skills. Also to manage time and organization skills. I would also like to feel less overwhelmed by my work. I learn well visually, from videos, or listening. I am fine with putting in time to get work done but I would like to get it done faster and easier so I have time to get to all my work.",Fall 2021
8/31/2021 13:01,14006177,ND 100,Michelle Gould/Alvin Henry/Jillian McKernan-Walley,"I would like to gain more reading and writing skills. Also to manage time and organization skills. I would also like to feel less overwhelmed by my work. I learn well visually, from videos, or listening. I am fine with putting in time to get work done but I would like to get it done faster and easier so I have time to get to all my work.",Fall 2021
9/2/2021 16:40,14005598,MATH 135,Patty Locke,I just want to pass my classes,Fall 2021
9/2/2021 16:40,14005598,CHEM 103,Matthew Skeels,I just want to pass my classes,Fall 2021
9/3/2021 8:05,14005288,CS 256,Kevin Angstadt,Keeping up with heavy homework load each week. I am the type of learner who needs constant review before I fully understand material.,Fall 2021
9/3/2021 9:45,14005405,CHEM 221,Samuel Tartakoff ,I am hoping that I can become more comfortable with the course and the material. Having someone who can give me advice and help me in a different way the teacher could. Tutors have an extra level of understanding because they have also taken the course. ,Fall 2021
9/3/2021 13:42,14004583,CHEM 222,Dr. Tartakoff,I would like to get help working through practice problems so I can better understand concepts and course material. ,Fall 2021
9/3/2021 13:42,14004583,PHYS 103,Dr. Jahncke ,I would like to get help working through practice problems so I can better understand concepts and course material. ,Fall 2021
9/4/2021 14:21,14006049,ECON 100,gasper Sekelj,Catch up on material and get help with hw,Fall 2021
9/4/2021 14:21,14006049,ENVS 101,David Murphy,Catch up on material and get help with hw,Fall 2021
9/5/2021 13:15,14004285,Mandarin ,Self-taught,I started learning Mandarin this semester and I would like to have the opportunity to practice with a native speaker,Fall 2021
9/5/2021 14:05,14004518,STAT 113,Robin Lock ,"I'm just having a hard time keeping up with the material, so I'm looking to gain a better understanding of what is being taught. Having a tutor in the past has helped me to better organize my thoughts and also study better. ",Fall 2021
9/5/2021 15:44,14005490,PHYS 103,Dr. Jahncke,I'm having a lot of trouble understanding and visualizing concepts. I think meeting with somebody to explain will be very beneficial. ,Fall 2021
9/5/2021 19:21,14005226,CHIN  103,Prof Zhang,I want to work on speaking CHIN  and understanding it better in a conversation,Fall 2021
9/5/2021 22:24,14006516,CHIN  101,Mr.Zhenjun Zhang ,a better overall understanding of the language. ,Fall 2021
9/6/2021 8:08,14005290,FR 103,Eloise Brezault,Increase my speaking abilities and pronunciation.,Fall 2021
9/6/2021 9:57,14005356,CHEM 221,Tartakoff,extra help on understanding the topics at hand. Someone to help me talk through the problems in a safe space ,Fall 2021
9/6/2021 14:14,14006019 and 14006066,ENVS 101 ,david murphy ,help studying for the exam. We both retain information at a slower pace. Meeting at least once a week would be ideal. ,Fall 2021
9/6/2021 15:31,14006539,CHEM 103,Professor Amanda Oldacre,Would like help with reinforcing concepts learned each week and I learn bear with visuals and step by step instructions thank you ,Fall 2021
9/6/2021 18:29,14004508,MATH 217,Megan Bos,I need help with understanding the lessions,Fall 2021
9/6/2021 18:29,14004508,MATH 235,Michael Schuckers,I need help with understanding the lessions,Fall 2021
9/7/2021 11:33,14005345,FR 103,Eloise Brezault,"Confidence in my french speaking/pronounciation, help with grammar and conjugations, and overall a better grasp of french to feel more caught-up with my classmates as I haven't practiced french/taken a class for 3 years now. I am a very hands-on, in-person learner so as long as on-campus classes are in session/tutoring sessions are able to be in-person, I'd certainly prefer that over zoom as I am able to focus alot better. ",Fall 2021
9/7/2021 11:35,14005303,FR 103,Eloise Brezault ,I need help speaking/writing. I am coming from French 101 last semester and will need some extra help for 103. ,Fall 2021
9/7/2021 13:56,14006470,GOV 108,Ronnie Olesker,identify styles to comprehend readings and learn how to tackle difficult readings,Fall 2021
9/7/2021 17:56,14006005,PSYC 101,Carolyn Crosby and Conrad Stuntz,I am a slow learner and it takes me awhile to master the class material. I'd like assistance with my study habits.,Fall 2021
9/7/2021 18:27,14005854,CHIN 103,Dr. Zhang,I’m hoping to have someone help me learn a few tools to help with grammar and to also help me with pronunciation.,Fall 2021
9/7/2021 20:00,14004341,ACC 203,wayne mcveigh ,any help i can get. no clue what is happening in class,Fall 2021
9/8/2021 10:58,14005194,PHYS 105,Daniel Koon,A better understanding for the class,Fall 2021
9/8/2021 14:10,14004407,ECON 251,Del Rossi,Help with solving and graphing problems... ,Fall 2021
9/8/2021 15:03,14005598,PHYS 151 ,"Pirbhai, M",,Fall 2021
9/8/2021 15:20,14005509,ECON 251,Professor Del Rossi,"process the info better,  get better scores on quizes and exams. I am a slow learner.",Fall 2021
9/8/2021 18:10,14004765,FR 103,Eloise Brezault,"I would love to learn how to speak French more fluently. I don’t have specific learning styles or goals, I am open to any kind of communication or meeting.",Fall 2021
9/8/2021 20:47,14004742,PHYS 105,Professor Daniel Koon,"I'm looking for help with the homework for the class, which are mostly math (physics) exercises. ",Fall 2021
9/8/2021 21:24,14005728,PSYC 101,Thatcher,A better understanding of the course and a way to study,Fall 2021
9/9/2021 10:36,14006249,BIOL 101,Alice Tarun,I would like to receive help on case studies and labs. I would prefer to meet in person because it is easier for me to obtain information. I also might want help studying for quizzes.,Fall 2021
9/9/2021 13:51,14006602,CHEM 103,Glazier,I hope to gain a grasp understanding of the material and be better at taking quizzes and pacing myself,Fall 2021
9/9/2021 13:51,14006602,BIOL 101,Turan,I hope to gain a grasp understanding of the material and be better at taking quizzes and pacing myself,Fall 2021
9/9/2021 14:55,14005262,PHYS 103,Dr. Jahncke,"one on one explanations, going at a slower pace, working out examples ",Fall 2021
9/9/2021 16:02,14006721,CS 219,choong-soo lee,Understanding the content ,Fall 2021
9/9/2021 16:02,14006721,STAT 113,Professor Ramler,Understanding the content ,Fall 2021
9/9/2021 18:57,14006041,BIOL 101,Alice Tarun,I hope to gain a better understanding for the topic to be prepared for the assessments. Currently I am not doing well in biology however in chemistry I am doing well but I thought a tutor would be helpful when it becomes more difficult.,Fall 2021
